action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,45,green,forward,2.0,None,None,None,37
None,44,red,forward,0.0,None,None,None,37
None,43,red,forward,0.0,None,None,None,37
None,42,red,forward,0.0,None,None,None,37
forward,41,green,forward,2.0,None,None,None,37
None,40,red,forward,0.0,None,None,None,37
None,39,red,forward,0.0,None,None,None,37
forward,38,green,forward,2.0,None,None,None,37
forward,37,green,forward,2.0,None,None,forward,37
right,36,red,right,2.0,None,None,None,37
None,35,red,forward,0.0,None,None,None,37
None,34,red,forward,0.0,None,None,None,37
None,33,red,forward,0.0,None,None,None,37
forward,32,green,forward,2.0,None,None,None,37
None,31,red,forward,0.0,None,None,None,37
None,30,red,forward,0.0,None,None,None,37
forward,29,green,forward,2.0,None,None,None,37
None,28,red,forward,0.0,None,None,None,37
None,27,red,forward,0.0,None,None,None,37
forward,26,green,forward,2.0,None,None,None,37
None,25,red,forward,0.0,None,None,None,37
None,24,red,forward,0.0,None,None,None,37
forward,23,red,forward,-1.0,forward,None,None,37
forward,22,green,forward,12.0,forward,None,None,37
forward,35,green,forward,2.0,right,None,None,38
forward,34,green,forward,2.0,None,None,None,38
forward,33,green,forward,2.0,None,None,None,38
forward,32,green,forward,2.0,None,None,None,38
forward,31,green,forward,2.0,None,None,None,38
forward,30,green,forward,2.0,None,None,None,38
right,29,red,right,12.0,None,None,None,38
right,20,green,right,2.0,None,None,None,39
None,19,red,forward,0.0,None,None,None,39
None,18,red,forward,0.0,None,None,None,39
None,17,red,forward,0.0,None,None,None,39
forward,16,green,forward,2.0,None,None,None,39
forward,15,green,forward,2.0,None,None,None,39
left,14,green,left,12.0,None,None,None,39
right,20,green,right,2.0,None,None,None,40
right,19,red,right,2.0,None,None,None,40
forward,18,green,forward,2.0,None,None,None,40
forward,17,green,forward,12.0,None,None,None,40
forward,25,green,forward,2.0,None,None,None,41
None,24,red,forward,0.0,None,None,None,41
None,23,red,forward,0.0,None,None,None,41
None,22,red,forward,0.0,None,None,None,41
None,21,red,forward,0.0,None,None,None,41
forward,20,green,forward,2.0,None,None,None,41
None,19,red,forward,0.0,None,None,None,41
None,18,red,forward,0.0,None,None,None,41
forward,17,green,forward,2.0,None,None,None,41
left,16,green,left,2.0,None,None,None,41
forward,15,green,forward,12.0,None,None,None,41
right,55,red,right,2.0,None,None,None,42
None,54,red,forward,0.0,None,None,None,42
None,53,red,forward,0.0,None,None,None,42
forward,52,green,forward,2.0,None,None,None,42
forward,51,red,forward,-1.0,None,forward,None,42
forward,50,green,forward,2.0,None,None,None,42
None,49,red,forward,0.0,None,None,None,42
None,48,red,forward,0.0,None,None,None,42
None,47,red,forward,0.0,None,None,None,42
forward,46,green,forward,2.0,None,None,left,42
forward,45,green,forward,2.0,None,None,None,42
None,44,red,forward,0.0,None,None,None,42
None,43,red,forward,0.0,None,None,None,42
None,42,red,forward,0.0,None,None,None,42
None,41,red,forward,0.0,None,None,None,42
forward,40,green,forward,2.0,None,None,None,42
right,39,red,right,2.0,None,None,None,42
None,38,red,forward,0.0,None,None,None,42
None,37,red,forward,0.0,None,None,None,42
None,36,red,forward,0.0,None,None,None,42
forward,35,green,forward,2.0,None,None,None,42
forward,34,green,forward,2.0,None,None,None,42
None,33,red,forward,0.0,None,None,None,42
None,32,red,forward,0.0,None,None,None,42
None,31,red,forward,0.0,None,None,None,42
forward,30,green,forward,2.0,None,None,None,42
forward,29,green,forward,12.0,None,None,None,42
None,20,red,left,0.0,None,None,None,43
None,19,red,left,0.0,None,None,None,43
None,18,red,left,0.0,None,None,None,43
left,17,green,left,2.0,None,None,None,43
None,16,red,forward,0.0,None,None,None,43
forward,15,green,forward,2.0,None,None,None,43
right,14,green,right,2.0,None,None,None,43
forward,13,green,forward,12.0,None,None,None,43
right,30,red,right,2.0,None,None,None,44
right,29,green,right,2.0,None,None,None,44
None,28,red,forward,0.0,None,None,None,44
forward,27,green,forward,2.0,None,None,None,44
None,26,red,forward,0.0,None,None,None,44
forward,25,green,forward,2.0,None,None,None,44
None,24,red,forward,0.0,None,None,None,44
None,23,red,forward,0.0,None,None,None,44
forward,22,green,forward,2.0,None,None,None,44
right,21,red,right,2.0,None,None,None,44
None,20,red,forward,0.0,None,None,None,44
None,19,red,forward,0.0,None,None,None,44
None,18,red,forward,0.0,None,None,None,44
None,17,red,forward,0.0,None,None,None,44
None,16,red,forward,0.0,None,None,None,44
forward,15,green,forward,2.0,None,None,None,44
forward,14,green,forward,12.0,None,None,None,44
forward,25,green,forward,2.0,None,None,None,45
None,24,red,forward,0.0,None,None,right,45
None,23,red,forward,0.0,None,None,None,45
None,22,red,forward,0.0,None,None,None,45
forward,21,green,forward,2.0,None,None,None,45
None,20,red,forward,0.0,None,None,None,45
forward,19,green,forward,2.0,None,right,None,45
None,18,red,forward,0.0,None,None,None,45
None,17,red,forward,0.0,None,None,None,45
None,16,red,forward,0.0,None,None,None,45
forward,15,green,forward,2.0,None,None,None,45
right,14,green,right,12.0,None,None,None,45
right,25,red,right,2.0,None,None,None,46
right,24,red,right,2.0,None,None,None,46
None,23,red,forward,0.0,None,None,None,46
None,22,red,forward,0.0,None,None,None,46
forward,21,green,forward,2.0,None,None,None,46
None,20,red,left,0.0,None,None,None,46
left,19,green,left,2.0,None,None,None,46
forward,18,green,forward,12.0,None,None,None,46
right,25,green,right,2.0,None,None,None,47
forward,24,green,forward,2.0,None,None,None,47
None,23,red,forward,0.0,None,None,None,47
None,22,red,forward,0.0,None,None,None,47
None,21,red,forward,0.0,None,None,None,47
forward,20,green,forward,2.0,None,None,None,47
forward,19,green,forward,2.0,None,None,None,47
left,18,green,left,12.0,None,None,None,47
right,20,green,right,2.0,None,None,None,48
None,19,red,forward,0.0,None,None,None,48
None,18,red,forward,0.0,None,None,None,48
None,17,red,forward,0.0,None,None,None,48
forward,16,green,forward,2.0,None,None,None,48
right,15,red,right,2.0,None,None,None,48
forward,14,green,forward,12.0,None,None,None,48
None,35,red,forward,0.0,None,None,None,49
None,34,red,forward,0.0,None,None,None,49
None,33,red,forward,0.0,None,None,None,49
None,32,red,forward,0.0,None,None,None,49
None,31,red,forward,0.0,None,None,None,49
forward,30,green,forward,2.0,None,None,None,49
None,29,red,forward,0.0,None,None,None,49
None,28,red,forward,0.0,None,None,None,49
None,27,red,forward,0.0,None,None,None,49
forward,26,green,forward,2.0,None,None,None,49
None,25,red,forward,0.0,None,None,None,49
None,24,red,forward,0.0,None,None,None,49
forward,23,green,forward,2.0,None,None,None,49
left,22,green,left,2.0,None,None,None,49
None,21,red,forward,0.0,None,None,None,49
None,20,red,forward,0.0,None,None,None,49
forward,19,green,forward,2.0,None,None,None,49
forward,18,green,forward,2.0,None,None,None,49
None,17,red,forward,0.0,None,None,None,49
None,16,red,forward,0.0,None,None,None,49
forward,15,green,forward,12.0,None,None,None,49
None,40,red,left,0.0,None,None,None,50
None,39,red,left,0.0,None,None,None,50
None,38,red,left,0.0,None,None,None,50
None,37,red,left,0.0,None,None,None,50
left,36,green,left,2.0,None,None,None,50
forward,35,green,forward,2.0,None,None,None,50
None,34,red,forward,0.0,None,None,None,50
None,33,red,forward,0.0,forward,None,None,50
None,32,red,forward,0.0,None,None,None,50
forward,31,green,forward,2.0,None,None,None,50
left,30,green,left,-1.0,None,right,None,50
left,29,green,left,2.0,None,None,None,50
