action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,29,red,forward,-1.0,6,None,None,None,6
forward,28,red,forward,-1.0,7,None,None,None,6
None,27,red,forward,0.0,8,None,None,None,6
forward,26,green,forward,2.0,9,None,None,None,6
None,25,red,forward,0.0,10,None,None,None,6
None,24,red,forward,0.0,11,None,None,None,6
None,23,red,forward,0.0,12,None,None,None,6
None,22,red,forward,0.0,13,None,None,None,6
None,21,red,forward,0.0,14,None,None,None,6
forward,20,green,forward,2.0,15,None,None,None,6
forward,19,green,forward,2.0,16,None,None,None,6
None,18,red,forward,0.0,17,None,None,None,6
None,17,red,forward,0.0,18,None,None,None,6
None,16,red,forward,0.0,19,None,None,None,6
forward,15,green,forward,2.0,20,None,None,None,6
forward,14,red,right,-1.0,21,None,None,None,6
forward,13,red,right,-1.0,22,None,None,None,6
right,12,red,right,2.0,23,None,None,None,6
None,11,red,forward,0.0,24,None,None,None,6
right,10,green,forward,-0.5,25,None,None,None,6
forward,9,red,right,-1.0,26,None,None,None,6
forward,8,red,right,-1.0,27,None,None,None,6
right,7,red,right,2.0,28,None,None,None,6
right,6,green,right,2.0,29,None,None,None,6
right,5,red,right,2.0,30,None,None,None,6
forward,4,red,forward,-1.0,31,None,None,None,6
right,3,red,forward,-0.5,32,left,None,None,6
right,2,green,right,2.0,33,None,None,None,6
forward,1,red,right,-1.0,34,None,None,None,6
right,0,green,right,2.0,35,None,None,None,6
right,30,green,right,2.0,0,None,None,None,7
left,29,green,forward,-0.5,1,None,None,None,7
forward,28,red,right,-1.0,2,None,None,None,7
right,27,green,right,2.0,3,None,None,None,7
forward,26,green,forward,2.0,4,None,None,None,7
right,25,green,right,2.0,5,None,None,None,7
None,24,red,forward,0.0,6,None,None,None,7
None,23,red,forward,0.0,7,None,None,None,7
None,22,red,forward,0.0,8,None,None,None,7
None,21,red,forward,0.0,9,None,None,None,7
None,20,green,forward,0.0,10,left,None,None,7
left,19,green,forward,-0.5,11,left,None,None,7
forward,18,red,right,-1.0,12,None,None,None,7
forward,17,red,right,-1.0,13,None,None,None,7
forward,16,red,right,-1.0,14,None,None,None,7
right,15,green,right,2.0,15,None,None,None,7
right,14,green,right,2.0,16,None,None,right,7
left,13,red,left,-1.0,17,None,None,None,7
right,12,green,left,-0.5,18,None,None,None,7
forward,11,red,right,-1.0,19,None,left,None,7
left,10,green,right,-0.5,20,None,left,None,7
forward,9,red,right,-1.0,21,None,None,None,7
forward,8,red,right,-1.0,22,None,None,None,7
forward,7,red,right,-1.0,23,None,None,None,7
right,6,green,right,2.0,24,None,None,None,7
right,5,green,right,2.0,25,None,None,None,7
forward,4,red,right,-1.0,26,None,None,None,7
right,3,green,right,2.0,27,None,None,None,7
None,2,red,forward,0.0,28,None,None,None,7
None,1,red,forward,0.0,29,None,None,None,7
forward,0,green,forward,2.0,30,None,None,None,7
forward,30,green,forward,2.0,0,None,None,None,8
None,29,red,forward,0.0,1,None,None,None,8
None,28,red,forward,0.0,2,None,None,None,8
None,27,red,forward,0.0,3,None,None,None,8
None,26,red,forward,0.0,4,None,None,None,8
left,25,green,forward,-0.5,5,None,left,None,8
right,24,green,right,2.0,6,None,None,None,8
forward,23,green,forward,2.0,7,None,None,None,8
None,22,red,forward,0.0,8,None,None,None,8
None,21,red,forward,0.0,9,None,None,None,8
None,20,red,forward,0.0,10,None,None,None,8
None,19,red,forward,0.0,11,None,None,None,8
forward,18,green,forward,2.0,12,None,None,None,8
forward,17,green,forward,2.0,13,None,None,None,8
forward,16,red,right,-1.0,14,None,None,None,8
right,15,green,right,2.0,15,None,None,None,8
None,14,red,forward,0.0,16,None,None,None,8
None,13,red,forward,0.0,17,None,None,None,8
forward,12,green,forward,12.0,18,None,None,None,8
forward,45,red,right,-1.0,0,None,None,None,9
forward,44,red,right,-1.0,1,None,None,None,9
forward,43,red,right,-1.0,2,None,None,None,9
right,42,red,right,2.0,3,None,None,None,9
None,41,red,forward,0.0,4,None,None,None,9
None,40,red,forward,0.0,5,None,None,None,9
forward,39,green,forward,2.0,6,None,None,None,9
right,38,red,forward,-0.5,7,None,forward,None,9
left,37,red,left,-1.0,8,None,None,None,9
left,36,red,left,-1.0,9,None,None,None,9
right,35,green,left,-0.5,10,None,None,None,9
right,34,green,right,2.0,11,None,None,None,9
forward,33,red,right,-1.0,12,None,None,None,9
forward,32,red,right,-1.0,13,None,None,None,9
right,31,red,right,2.0,14,None,None,None,9
None,30,red,forward,0.0,15,None,None,None,9
None,29,red,forward,0.0,16,None,None,None,9
None,28,red,forward,0.0,17,None,forward,None,9
None,27,red,forward,0.0,18,None,forward,None,9
None,26,red,forward,0.0,19,None,forward,None,9
forward,25,green,forward,2.0,20,None,None,None,9
forward,24,green,forward,2.0,21,None,None,None,9
right,23,green,forward,-0.5,22,None,right,None,9
left,22,red,left,-1.0,23,None,None,None,9
right,21,green,left,-0.5,24,None,None,None,9
right,20,green,right,2.0,25,None,None,None,9
right,19,green,right,2.0,26,None,None,None,9
None,18,red,forward,0.0,27,None,None,None,9
None,17,red,forward,0.0,28,None,None,None,9
None,16,red,forward,0.0,29,None,None,None,9
forward,15,green,forward,2.0,30,None,None,None,9
None,14,red,forward,0.0,31,None,None,None,9
forward,13,green,forward,2.0,32,None,None,None,9
forward,12,red,right,-1.0,33,None,None,None,9
forward,11,red,right,-1.0,34,None,None,None,9
right,10,red,right,2.0,35,None,None,None,9
forward,9,green,forward,2.0,36,None,None,None,9
forward,8,green,forward,12.0,37,None,None,None,9
right,25,green,right,2.0,0,None,None,None,10
left,24,green,forward,-0.5,1,None,left,None,10
forward,23,red,right,-1.0,2,None,None,None,10
forward,22,red,right,-1.0,3,None,None,None,10
right,21,green,right,2.0,4,None,None,None,10
None,20,red,forward,0.0,5,None,None,None,10
None,19,red,forward,0.0,6,None,None,None,10
None,18,red,forward,0.0,7,None,None,None,10
None,17,red,forward,0.0,8,None,None,None,10
None,16,red,forward,0.0,9,None,None,None,10
forward,15,green,forward,2.0,10,None,None,None,10
left,14,red,left,-1.0,11,None,None,None,10
left,13,red,left,-1.0,12,None,None,None,10
None,12,red,left,0.0,13,None,None,None,10
left,11,red,left,-1.0,14,None,None,None,10
right,10,green,left,-0.5,15,None,None,None,10
right,9,red,right,2.0,16,None,None,None,10
left,8,red,right,-1.0,17,None,left,None,10
left,7,red,right,-1.0,18,None,left,None,10
None,6,red,right,0.0,19,None,left,None,10
right,5,green,right,2.0,20,None,left,None,10
forward,4,red,right,-1.0,21,None,None,None,10
forward,3,red,right,-1.0,22,None,None,None,10
forward,2,red,right,-1.0,23,None,None,None,10
right,1,red,right,2.0,24,None,None,None,10
right,0,green,left,-0.5,25,None,None,None,10
right,25,green,right,2.0,0,None,None,None,11
forward,24,red,right,-1.0,1,None,None,None,11
forward,23,red,right,-1.0,2,None,None,None,11
right,22,red,right,2.0,3,None,None,None,11
None,21,red,forward,0.0,4,None,None,None,11
None,20,red,forward,0.0,5,None,None,None,11
forward,19,green,forward,2.0,6,None,None,None,11
forward,18,green,forward,2.0,7,None,None,None,11
None,17,red,forward,0.0,8,None,None,None,11
forward,16,green,forward,2.0,9,None,None,None,11
forward,15,green,forward,2.0,10,None,None,None,11
right,14,green,right,12.0,11,None,None,None,11
forward,20,red,right,-1.0,0,None,None,None,12
